rater_id,dialog_id,condition,is_gold,is_imc,is_regular,duration_sec,flag_long_duration,flag_missing_scales,flag_incomplete,flag_imc_fail,flag_fast_median,flag_low_variance,flag_straightlining,flag_gold_fail,keep_row,exclusion_reasons
P069,D048,bad,0,0,True,92.98147821426392,False,False,0,False,False,False,False,False,True,
P069,D036,good,0,1,False,142.880131483078,False,False,0,False,False,False,False,False,False,non_regular_imc
P069,D069,bad,0,0,True,135.51554107666016,False,False,0,False,False,False,False,False,True,
P069,D041,bad,0,0,True,105.54784154891968,False,False,0,False,False,False,False,False,True,
P069,D033,good,0,0,True,179.36494326591492,False,False,0,False,False,False,False,False,True,
P069,D018,good,0,0,True,137.34379839897156,False,False,0,False,False,False,False,False,True,
P069,D079,bad,1,0,False,70.99603176116943,False,False,0,False,False,False,False,False,False,non_regular_gold
P069,D026,good,0,0,True,145.4233157634735,False,False,0,False,False,False,False,False,True,
P069,D077,bad,0,0,True,61.32571077346802,False,False,0,False,False,False,False,False,True,
P071,D039,good,1,0,False,99.86781811714172,False,False,1,True,False,False,False,False,False,non_regular_gold
P071,D044,bad,1,0,False,63.90799498558045,False,False,1,True,False,False,False,False,False,non_regular_gold
P071,D016,good,0,1,False,105.64902520179749,False,False,1,True,False,False,False,False,False,non_regular_imc
P071,D011,good,1,0,False,144.7114453315735,False,False,1,True,False,False,False,False,False,non_regular_gold
P071,D023,good,1,0,False,154.13738989830017,False,False,1,True,False,False,False,False,False,non_regular_gold
P071,D053,bad,1,0,False,69.10794997215271,False,False,1,True,False,False,False,False,False,non_regular_gold
P072,D008,good,0,0,True,121.02734375,False,False,0,False,False,False,False,False,True,
P072,D078,bad,0,0,True,88.82292342185974,False,False,0,False,False,False,False,False,True,
P072,D033,good,0,0,True,100.17067170143127,False,False,0,False,False,False,False,False,True,
P072,D027,good,0,1,False,92.39018368721008,False,False,0,False,False,False,False,False,False,non_regular_imc
P072,D061,bad,0,0,True,62.2759428024292,False,False,0,False,False,False,False,False,True,
P072,D048,bad,0,0,True,84.48947548866272,False,False,0,False,False,False,False,False,True,
P072,D058,bad,1,0,False,66.65994262695312,False,False,0,False,False,False,False,False,False,non_regular_gold
P072,D072,bad,0,0,True,87.14377450942993,False,False,0,False,False,False,False,False,True,
P072,D004,good,0,0,True,106.90957379341124,False,False,0,False,False,False,False,False,True,
P072,D010,good,0,0,True,82.88438558578491,False,False,0,False,False,False,False,False,True,
P076,D022,good,0,0,True,228.5174586772919,False,False,0,False,False,False,False,False,True,
P076,D040,good,0,0,True,239.83229541778564,False,False,0,False,False,False,False,False,True,
P076,D025,good,0,0,True,248.26046872138977,False,False,0,False,False,False,False,False,True,
P076,D066,bad,0,1,False,298.1749703884125,False,False,0,False,False,False,False,False,False,non_regular_imc
P076,D024,good,0,0,True,214.3514335155487,False,False,0,False,False,False,False,False,True,
P076,D064,bad,0,0,True,297.8797469139099,False,False,0,False,False,False,False,False,True,
P076,D051,bad,1,0,False,219.7561285495758,False,False,0,False,False,False,False,False,False,non_regular_gold
P076,D065,bad,0,0,True,196.55284070968628,False,False,0,False,False,False,False,False,True,
P076,D042,bad,0,0,True,131.66956639289856,False,False,0,False,False,False,False,False,True,
P076,D050,bad,0,0,True,125.66845798492432,False,False,0,False,False,False,False,False,True,
P080,D071,bad,0,0,True,114.72807145118712,False,False,0,False,False,False,False,False,True,
P080,D031,good,0,0,True,87.0893177986145,False,False,0,False,False,False,False,False,True,
P080,D036,good,0,1,False,124.27490663528442,False,False,0,False,False,False,False,False,False,non_regular_imc
P080,D040,good,0,0,True,100.9489221572876,False,False,0,False,False,False,False,False,True,
P080,D054,bad,0,0,True,58.78486967086792,False,False,0,False,False,False,False,False,True,
P080,D072,bad,0,0,True,43.13183236122131,False,False,0,False,False,False,False,False,True,
P080,D035,good,0,0,True,99.36878061294556,False,False,0,False,False,False,False,False,True,
P080,D076,bad,1,0,False,85.47443437576294,False,False,0,False,False,False,False,False,False,non_regular_gold
P080,D059,bad,0,0,True,52.312087297439575,False,False,0,False,False,False,False,False,True,
P080,D002,good,0,0,True,93.14698314666748,False,False,0,False,False,False,False,False,True,
P084,D069,bad,0,0,True,279.6186990737915,False,False,0,False,False,False,False,False,True,
P084,D007,good,0,0,True,271.5934307575226,False,False,0,False,False,False,False,False,True,
P084,D038,good,0,0,True,267.0234863758087,False,False,0,False,False,False,False,False,True,
P084,D017,good,0,1,False,64.95120453834534,False,False,0,False,False,False,False,False,False,non_regular_imc
P084,D075,bad,0,0,True,85.83465838432312,False,False,0,False,False,False,False,False,True,
P084,D002,good,0,0,True,205.7438564300537,False,False,0,False,False,False,False,False,True,
P084,D029,good,1,0,False,164.06026530265808,False,False,0,False,False,False,False,False,False,non_regular_gold
P084,D059,bad,0,0,True,82.22600317001343,False,False,0,False,False,False,False,False,True,
P084,D068,bad,0,0,True,62.188246965408325,False,False,0,False,False,False,False,False,True,
P084,D009,good,0,0,True,80.57310175895691,False,False,0,False,False,False,False,False,True,
P091,D060,bad,0,0,True,241.292329788208,False,False,0,False,False,False,False,False,True,
P091,D080,bad,0,0,True,178.9134395122528,False,False,0,False,False,False,False,False,True,
P091,D056,bad,0,1,False,212.504490852356,False,False,0,False,False,False,False,False,False,non_regular_imc
P091,D067,bad,0,0,True,180.07735538482666,False,False,0,False,False,False,False,False,True,
P091,D020,good,0,0,True,112.98130536079408,False,False,0,False,False,False,False,False,True,
P091,D021,good,0,0,True,126.28980422019958,False,False,0,False,False,False,False,False,True,
P091,D034,good,0,0,True,210.7259495258332,False,False,0,False,False,False,False,False,True,
P091,D005,good,1,0,False,147.8505561351776,False,False,0,False,False,False,False,False,False,non_regular_gold
P091,D070,bad,0,0,True,140.4741611480713,False,False,0,False,False,False,False,False,True,
P091,D054,bad,0,0,True,106.6053867340088,False,False,0,False,False,False,False,False,True,
P104,D073,bad,0,0,True,121.34164214134216,False,False,0,False,False,False,False,False,True,
P104,D003,good,0,0,True,276.3026213645935,False,False,0,False,False,False,False,False,True,
P104,D043,bad,0,1,False,66.50856328010559,False,False,0,False,False,False,False,False,False,non_regular_imc
P104,D062,bad,0,0,True,100.89168214797974,False,False,0,False,False,False,False,False,True,
P104,D037,good,0,0,True,101.23414421081544,False,False,0,False,False,False,False,False,True,
P104,D025,good,0,0,True,186.34687542915344,False,False,0,False,False,False,False,False,True,
P104,D051,bad,1,0,False,64.89672183990479,False,False,0,False,False,False,False,False,False,non_regular_gold
P104,D060,bad,0,0,True,105.26242756843568,False,False,0,False,False,False,False,False,True,
P104,D022,good,0,0,True,131.0852117538452,False,False,0,False,False,False,False,False,True,
P104,D065,bad,0,0,True,63.56309247016907,False,False,0,False,False,False,False,False,True,
P106,D047,bad,0,0,True,108.68115639686584,False,False,0,False,False,False,False,False,True,
P106,D071,bad,0,0,True,110.4582221508026,False,False,0,False,False,False,False,False,True,
P106,D067,bad,0,0,True,133.1306746006012,False,False,0,False,False,False,False,False,True,
P106,D046,bad,0,1,False,72.88201689720154,False,False,0,False,False,False,False,False,False,non_regular_imc
P106,D032,good,0,0,True,83.01408910751343,False,False,0,False,False,False,False,False,True,
P106,D070,bad,0,0,True,86.88526105880737,False,False,0,False,False,False,False,False,True,
P106,D052,bad,1,0,False,100.86103177070618,False,False,0,False,False,False,False,False,False,non_regular_gold
P106,D013,good,0,0,True,112.06829881668092,False,False,0,False,False,False,False,False,True,
P106,D034,good,0,0,True,154.55169367790222,False,False,0,False,False,False,False,False,True,
P106,D019,good,0,0,True,156.6103389263153,False,False,0,False,False,False,False,False,True,
P109,D004,good,0,0,True,160.2861773967743,False,False,0,False,False,False,False,False,True,
P109,D028,good,0,0,True,204.1824131011963,False,False,0,False,False,False,False,False,True,
P109,D047,bad,0,0,True,162.4203679561615,False,False,0,False,False,False,False,False,True,
P109,D017,good,0,1,False,93.95859956741332,False,False,0,False,False,False,False,False,False,non_regular_imc
P109,D010,good,0,0,True,171.74579238891602,False,False,0,False,False,False,False,False,True,
P109,D041,bad,0,0,True,87.74804425239563,False,False,0,False,False,False,False,False,True,
P109,D055,bad,0,0,True,60.7140679359436,False,False,0,False,False,False,False,False,True,
P109,D030,good,1,0,False,154.1361162662506,False,False,0,False,False,False,False,False,False,non_regular_gold
P109,D015,good,0,0,True,157.481924533844,False,False,0,False,False,False,False,False,True,
P109,D042,bad,0,0,True,70.7170717716217,False,False,0,False,False,False,False,False,True,
P162,D029,good,1,0,False,129.8891327381134,False,False,1,False,False,False,False,False,False,non_regular_gold
P162,D076,bad,1,0,False,79.3684766292572,False,False,1,False,False,False,False,False,False,non_regular_gold
P162,D008,good,0,0,True,91.50906157493591,False,False,1,False,False,False,False,False,True,
P162,D027,good,0,1,False,147.75348687171936,False,False,1,False,False,False,False,False,False,non_regular_imc
P162,D045,bad,1,0,False,77.80799961090088,False,False,1,False,False,False,False,False,False,non_regular_gold
P162,D012,good,1,0,False,120.44237422943117,False,False,1,False,False,False,False,False,False,non_regular_gold
P162,D023,good,1,0,False,107.54914546012878,False,False,1,False,False,False,False,False,False,non_regular_gold
P162,D046,bad,0,1,False,74.24118304252625,False,False,1,False,False,False,False,False,False,non_regular_imc
P162,D057,bad,0,1,False,57.41608667373657,False,False,1,False,False,False,False,False,False,non_regular_imc
P162,D039,good,1,0,False,99.86781811714172,False,False,1,False,False,False,False,False,False,non_regular_gold
P165,D077,bad,0,0,True,94.382963180542,False,False,0,False,False,False,False,False,True,
P165,D074,bad,0,0,True,84.75999975204468,False,False,0,False,False,False,False,False,True,
P165,D015,good,0,0,True,77.33175587654114,False,False,0,False,False,False,False,False,True,
P165,D066,bad,0,1,False,75.64085078239441,False,False,0,False,False,False,False,False,False,non_regular_imc
P165,D024,good,0,0,True,75.58134841918945,False,False,0,False,False,False,False,False,True,
P165,D050,bad,0,0,True,78.37822151184082,False,False,0,False,False,False,False,False,True,
P165,D003,good,0,0,True,58.621294021606445,False,False,0,False,False,False,False,False,True,
P165,D045,bad,1,0,False,66.67884564399719,False,False,0,False,False,False,False,False,False,non_regular_gold
P165,D028,good,0,0,True,80.05115938186646,False,False,0,False,False,False,False,False,True,
P165,D055,bad,0,0,True,65.49019765853882,False,False,0,False,False,False,False,False,True,
P167,D037,good,0,0,True,117.73628187179564,False,False,0,False,False,False,False,False,True,
P167,D063,bad,0,0,True,135.6084702014923,False,False,0,False,False,False,False,False,True,
P167,D043,bad,0,1,False,78.6455659866333,False,False,0,False,False,False,False,False,False,non_regular_imc
P167,D064,bad,0,0,True,101.624769449234,False,False,0,False,False,False,False,False,True,
P167,D009,good,0,0,True,101.80035853385924,False,False,0,False,False,False,False,False,True,
P167,D026,good,0,0,True,108.6276581287384,False,False,0,False,False,False,False,False,True,
P167,D032,good,0,0,True,113.29676961898804,False,False,0,False,False,False,False,False,True,
P167,D012,good,1,0,False,125.87553286552428,False,False,0,False,False,False,False,False,False,non_regular_gold
P167,D073,bad,0,0,True,136.864577293396,False,False,0,False,False,False,False,False,True,
P167,D049,bad,0,0,True,87.65060448646545,False,False,0,False,False,False,False,False,True,
