dialog_id,condition,stim_is_gold,stim_is_imc,n_valid_raters,row_exclusion_reasons,is_regular_stimulus,kept_for_human_gold,reason_compact
D071,bad,0,0,2,[],True,True,
D072,bad,0,0,2,[],True,True,
D073,bad,0,0,2,[],True,True,
D074,bad,0,0,2,[],True,True,
D075,bad,0,0,2,[],True,True,
D076,bad,1,0,0,"['non_regular_gold', 'non_regular_gold, rater_excluded_core_flags']",False,False,"stimulus_is_gold, non_regular_gold, non_regular_gold, rater_excluded_core_flags"
D077,bad,0,0,2,[],True,True,
D078,bad,0,0,2,[],True,True,
D079,bad,1,0,0,['non_regular_gold'],False,False,"stimulus_is_gold, non_regular_gold"
D080,bad,0,0,2,[],True,True,
