recipe_id,title,fat,carbs,calories,description,directions,ingredients_list
13,Ice Cream Kolacky,29.201,40.184,439,'This dough is made rich by adding ice cream. It is made even quicker and easier by using a canned filling.',"Add flour to butter or margarine and crumble in pastry blender. Add ice cream to crumbled mixture and, using dough hooks, work into dough. (If you don't have dough hooks, use your hands. Rubber gloves will help cut down the cold temperature from the ice cream.) When dough is smooth, shape into ball and refrigerate overnight.<br>Preheat oven to 350 degrees F (175 degrees C).<br>Roll dough to about 1/8-inch thickness on a floured surface. Using the rim of a glass dipped in flour, cut out circles. Place on a cookie sheet and make a thumbprint in center of each. Fill thumbprints with 1/2 teaspoon fruit filling.<br>Bake at 350 degrees F (175 degrees C) for 20 minutes. Sprinkle with confectioners' sugar when cool. Eat and enjoy!<br>","['flour', 'butter', 'vanilla ice cream', 'fruit']"
14,Mom's Margarine Cake,17.273,50.1177,371,"'I searched and searched for this recipe on the web. Never did find it. Luckily, I found a scrap of paper with the instructions scribbled on it! This is the best cake! Mom used to make it all the time as we were growing up.'","Preheat the oven to 325 degrees F (165 degrees C). Grease and flour a 9 inch tube pan.<br>In a large bowl, cream together the sugar and margarine until smooth. Beat in the eggs one at a time, then stir in the vanilla and lemon juice. Combine the flour, baking powder and salt, mix into the batter alternating with the milk just until blended. Pour into the prepared pan.<br>Bake for 1 hour in the preheated oven, or until a toothpick inserted into the crown comes out clean. Cool in the pan for at least 10 minutes before inverting onto a wire rack to cool completely.<br>","['flour', 'white sugar', 'salt', 'vanilla extract', 'egg', 'baking powder', 'lemon juice', 'evaporated milk', 'margarine']"
15,Seitan Philly Cheese Steak Sandwiches,5.90224,21.8669,179,"'Quick, easy vegetarian dinner that is a guaranteed success! This recipe hinges on the quality of the seitan that is used. We make our own. For people in the Northeast, Susie's® sliced seitan is very good and comes in a variety of flavors. We add and subtract veggies based on what finicky kids will eat that day.'","Preheat oven to 425 degrees F (220 degrees C).<br>Heat 1 tablespoon oil in a skillet over medium heat, cook and stir onion, green bell pepper, and red bell pepper until onion is translucent, 5 to 10 minutes. Add mushrooms, cook and stir until tender, 5 to 10 minutes. Transfer vegetable mixture to a bowl.<br>Pour remaining olive oil into the skillet over medium heat, add seitan and cook, turning frequently, until browned on all sides, 5 to 10 minutes. Return vegetable mixture to skillet and mix with seitan, season with salt and pepper.<br>Arrange hoagie rolls on a baking sheet and fill with seitan-veggie mixture. Place 1 provolone cheese slice over the filling of each sandwich.<br>Heat sandwiches in the preheated oven until cheese is melted, about 5 minutes.<br>","['ground pepper', 'mushroom', 'olive oil', 'provolone cheese', 'roll', 'red bell pepper', 'green bell pepper', 'onion', 'seitan']"
16,Strawberry Rhubarb Coffee Cake,11.4515,42.137,281,"'Strawberries and rhubarb combine to make a sweet, fruity filling in this cake. The crumb topping adds a little crunch, it would probably be good with some nuts sprinkled on top.'","Combine sugar and cornstarch in a large saucepan, stir in rhubarb and strawberries and bring to a simmer over medium heat. Cook until thickened, about two minutes. Remove from heat, stir in lemon juice, and let cool.<br>Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch pan.<br>Combine 3 cups flour, 1 cup sugar, baking powder, and baking soda in a large bowl. Cut in butter until mixture resembles coarse crumbs. Beat together eggs, buttermilk, and vanilla in a separate bowl. Stir egg mixture into flour until just moistened. Spoon two-thirds of the batter into prepared pan, evenly spread on the cooled filling, then cover with remaining batter.<br>In a small bowl, combine 3/4 cup sugar and 1/2 cup flour, and cut in butter until the mixture resembles coarse crumbs, sprinkle crumb topping over the batter.<br>Bake in preheated oven until topping is golden brown and a tester inserted in the center comes out clean, 45 to 50 minutes. Cool on a wire rack.<br>","['sugar', 'sugar', 'sugar', 'flour', 'flour', 'vanilla extract', 'egg', 'baking soda', 'cornstarch', 'baking powder', 'buttermilk', 'lemon juice', 'rhubarb', 'butter', 'butter', 'strawberry']"
17,Cuban-Style Pork and Sweet Potatoes,3.494,9.83363,96,'Sweet and spicy pork and sweet potatoes. Low in fat. High in taste and fiber.',"Mix sweet potatoes, pork, diced tomatoes with green chile peppers, orange juice, lime juice, garlic, cumin, salt, and black pepper together in a slow cooker.<br>Cook on Low for 6 hours. Garnish with cilantro.<br>","['salt', 'orange juice', 'ground pepper', 'ground cumin', 'lime juice', 'garlic', 'green tomato', 'fresh cilantro', 'sweet potato', 'pork']"
18,Extreme Chocolate Cake,11.7658,53.1374,313,'A rich moist chocolate cake with a chocolate buttercream icing. This is the best cake in the world!',"Preheat oven to 350 degrees F (175 degrees C). Grease and flour two 9 inch cake pans.<br>Use the first set of ingredients to make the cake. In a medium bowl, stir together the sugar, flour, cocoa, baking soda, baking powder and salt. Add the eggs, milk, oil and vanilla, mix for 3 minutes with an electric mixer. Stir in the boiling water by hand. Pour evenly into the two prepared pans.<br>Bake for 30 to 35 minutes in the preheated oven, until a toothpick inserted comes out clean. Cool for 10 minutes before removing from pans to cool completely.<br>To make the frosting, use the second set of ingredients. Cream butter until light and fluffy. Stir in the cocoa and confectioners' sugar alternately with the milk and vanilla. Beat to a spreading consistency.<br>Split the layers of cooled cake horizontally, cover the top of each layer with frosting, then stack them onto a serving plate. Frost the outside of the cake.<br>","['flour', 'white sugar', 'salt', 'water', 'vegetable oil', 'vanilla extract', 'vanilla extract', 'milk', 'milk', 'egg', 'baking soda', 'butter', ""confectioners' sugar"", 'baking powder', 'unsweetened cocoa powder', 'unsweetened cocoa powder']"
19,That Addicting Salad,27.84,6.82667,304,"'The salad that initiated a year-long quest to duplicate the recipe! When I threw yet another attempt at the dressing in the fridge overnight, I hit on the secret ingredient. A huge hit with guests!'","In a small bowl, mix together the mayonnaise, 1/4 cup Parmesan cheese, and sugar until well blended. Cover, and refrigerate overnight. Stir again just before using.<br>In a large serving bowl, combine the lettuce, 1/2 cup Parmesan cheese, carrot, cauliflower, and bacon bits. Toss with chilled dressing just before serving.<br>","['white sugar', 'mayonnaise', 'bacon bit', 'parmesan cheese', 'parmesan cheese', 'carrot', 'cauliflower floret', 'spring mix']"
20,Carrot Casserole,11.252,10.5659,151,'Great side dish for big meals. I make it every holiday and it's always a hit!',"Preheat oven to 350 degrees F (175 degrees C). Grease a 2 quart casserole dish.<br>Bring a pot of water to a boil. Add carrots and cook until tender but still firm, about 8 minutes, drain.<br>Melt 3 tablespoons butter in a medium saucepan. Saute onions and stir in soup, salt, pepper and cheese. Stir in cooked carrots. Transfer mixture to prepared dish.<br>Toss croutons with 1/3 cup melted butter, scatter over casserole.<br>Bake in preheated oven for 20 to 30 minutes, or until heated through.<br>","['salt and pepper', 'butter', 'condensed cream of celery soup', 'onion', 'butter', 'carrot', 'crouton', 'processed american cheese']"
21,Bill Yosses's Cheesecake,12.316,18.3351,218,'Let Chef Bill Yosses guide you through the process of making the perfect cheesecake.',"Grease the inside of a 9' springform pan, using soft butter. Press 1 cup of cookie crumbs into the bottom of the pan. Set aside.<br>Place cream cheese and SPLENDA® Sugar Blend into a mixer (preferably with a paddle attachment). Run for a few minutes, scraping down the sides and beaters frequently.<br>Add Ricotta, then add eggs, one by one. Wait for egg to be incorporated into the mix and scrape down the bowl before adding another egg to insure that everything is smoothly blended. Finally add sour cream, lemon juice and zest, and mix to uniform consistency.<br>Pour batter into the prepared pan and place on a cookie sheet.<br>Bake at 325 degrees F for 50 -55 minutes, or until almost fully set and the center jiggles slightly. Allow to cool completely.<br>To Make Glaze: Mix the ingredients in a bowl and use an offset spatula to cover the outside of the un-molded cheesecake.<br>Cover the top of the cake with a one eighth of an inch layer of the sour cream glaze and lightly coat the sides, use the spatula to stick the remaining 1/4 cup cookie crumbs onto the sides.<br>","['vanilla extract', 'egg', 'lemon juice', 'butter', 'part-skim ricotta cheese', 'splenda brown sugar blend', 'splenda brown sugar blend', 'sour cream', 'sour cream', 'cookie crumb', 'cream cheese', 'lemon zest']"
22,Mock Caprese Salad,0.117039,5.14971,47,'Fresh mozzarella is expensive. I love caprese and came up with this. I use fat-free cottage cheese to make it really low calorie.',"Combine cottage cheese, tomatoes, basil, salt, and black pepper in a bowl. Stir in balsamic vinegar.<br>","['salt', 'balsamic vinegar', 'black pepper', 'tomato', 'fat-free cottage cheese', 'fresh basil leaf']"
23,Orange Beef Kabobs with Grilled Fruit,5.16081,7.90019,102,"'Sirloin kabobs marinated in zesty citrus, combine with warm sweet foil pack grilled orange and pineapple. Serve over rice.'","Combine yogurt, cayenne pepper, ginger, orange zest, and sirloin cubes in a large freezer bag. Massage bag to mix and coat beef well. Refrigerate for at least 2 hours.<br>Preheat an outdoor grill for medium heat, and lightly oil the grate. Remove beef from freezer bag, shake off as much marinade as possible. Thread onion, red pepper, and marinated beef cubes onto skewers, brush with olive oil.<br>Place the pineapple and oranges in the center of a large piece of heavy duty aluminum foil. Dot with the butter, sprinkle with brown sugar, and drizzle with the rum. Bring together the long sides of the foil and seal well, fold up and seal each end. Place fruit packets on grill and cook, covered, for 10 minutes.<br>Place kabobs on the grill with the fruit. Cook, turning occasionally, until meat is done to your liking and fruit is soft and glazed, about 10 minutes.<br>","['olive oil', 'butter', 'brown sugar', 'cayenne pepper', 'plain yogurt', 'orange zest', 'fresh ginger root', 'rum', 'red onion', 'red bell pepper', 'top sirloin', 'pineapple', 'navel orange']"
24,Au Gratin-Pumpkin Layered Casserole,6.68238,4.81959,106,"'In this Idahoan approach to lasagna, we've layered our creamy Au Gratin Homestyle Potatoes with vitamin-rich kale or spinach and a pumpkin Parmesan sauce for a delicious taste of autumn.'","Preheat oven to 350 degrees F.<br>Prepare Au Gratin Homestyle Casserole following 'stove top' directions on the package.<br>In a 9 x 13 casserole dish, layer half of the potatoes on the bottom of the dish. Sprinkle 1 cup of the spinach or kale over potatoes. Blend the ricotta and eggs together and use half of this mixture to layer on top of the spinach. Layer next with 1 1/2 cup of the pumpkin sauce.<br>Repeat layers one more time, garnishing with Parmesan cheese.<br>Bake for 25-30 minutes. Let rest 5-10 minutes before cutting.<br>Pumpkin-Parmesan Pasta Sauce: In a large saucepan over medium high heat, add olive oil. Add shallots and onion and saute until translucent. Add garlic and saute one minute more. Add pumpkin, broth, cream, vinegar and spices to the onion, shallots, garlic mixture. Stir to blend and simmer on low for 5 minutes. Gradually stir in 1/3 of the cheese to the sauce until blended. Repeat with another 1/3 of the cheese. When cheese is melted add remaining cheese. Stir in chopped fresh sage.<br>","['salt', 'ricotta cheese', 'egg', 'pepper', 'olive oil', 'garlic', 'pumpkin puree', 'onion', 'balsamic vinegar', 'chicken broth', 'half n half', 'parmesan cheese', 'ground sage', 'parmesan cheese', 'shallot', 'nutmeg', 'fresh sage', 'raisin', 'kale', 'parmesan']"
25,Minted Marinated Zucchini,5.97775,3.26059,65,"'For those who have mint leaves and zucchini taking over the vegetable patch, this is simple. This tangy dish can be used as a relish inside panini or sandwiches, or on the side.'","Heat 1/4 cup of olive oil in a large skillet over medium-high heat. Add zucchini slices and garlic, cook and stir until starting to brown but you want the squash to stay firm and not get mushy, 3 to 4 minutes. Remove from the heat and mix in the vinegar, mint, salt and pepper. Stir in the remaining olive oil. Spoon into a jar and store covered in the refrigerator.<br>","['salt', 'olive oil', 'garlic', 'ground pepper', 'white distilled vinegar', 'olive oil', 'zucchini', 'fresh mint leaf']"
26,No-Bake Energy Bites,25.8887,51.7775,459,"'This is a healthy take on the traditional no bake cookies. So good and good for you! I am always asked for this recipe every time I make them. They are a hit with the kids and the adults, and always go quick! I store them in the freezer because I think they taste best frozen, but not necessary.'","Combine oats, chocolate chips, flax seed, peanut butter, honey, and vanilla extract together in a bowl, form into balls using your hands. Arrange energy bites on a baking sheet and freeze until set, about 1 hour.<br>","['vanilla extract', 'rolled oat', 'honey', 'semi sweet chocolate chip', 'ground flax seed', 'crunchy peanut butter']"
27,Very Old Meatloaf Recipe,7.96928,7.91651,153,"'At present time (2012), this is a 207-year-old meatloaf recipe, that has been handed down through our family since my great-great-grandmother back in 1807. It may be older than this, but that's as far back as I can trace it. Originally it was made using deer meat, but I prefer using beef as did my Mother. Enjoy.'","Preheat the oven to 375 degrees F (190 degrees C).<br>Mix ground beef with water and milk in a large bowl using your hands until beef is evenly moistened.<br>Mix bread crumbs, onion, carrot, apple, and egg into the beef mixture until evenly integrated.<br>Form the beef mixture into a loaf.<br>Transfer the meatloaf to a deep baking dish, tent with a sheet of aluminum foil.<br>Bake in preheated oven for 1 hour, remove foil tent and bake until no longer pink the center, about 30 minutes more.<br>","['egg', 'milk', 'water', 'onion', 'ground beef', 'bread crumb', 'carrot', 'granny smith apple']"
28,Corned Beef-Stuffed Pumpernickel,14.3967,22.0686,257,'I was looking for something different to bring to a Super Bowl® party and a friend gave me this recipe. Now my family looks forward to this at every family gathering. It is a must for Super Bowl® parties. Serve along with other breads or crackers. ',"Cut a hole in the top of the pumpernickel loaf (creating about a 6-inch lid), hollow out, keeping bread in chunks. Store extra bread in a resealable bag until ready to serve.<br>Shred the corned beef into a bowl, and add the onion, dill pickles, cream cheese, sour cream, mayonnaise, and pickle juice. Season with garlic powder. Mash together until evenly mixed. Add additional pickle juice or mayonnaise if desired to achieve a spreadable consistency.<br>Spoon the corned beef mixture into the hollowed-out pumpernickel loaf. Place the lid back on top, and refrigerate until ready to serve.<br>","['sour cream', 'garlic powder', 'onion', 'cream cheese', 'corned beef', 'mayonnaise', 'dill pickle', 'rye bread', 'dill pickle']"
29,Turkey Tom Kha Gai,4.22722,2.07403,70,"'One of the great blessings, and curses, of Thanksgiving is leftover turkey. That's where this spicy Thai coconut soup recipe comes in. This is my take on Tom Kha Gai, and as usual I make no claim as to its authenticity. I do know it tastes amazing and will make you forget you even roasted a turkey. Garnish with chili oil, cilantro leaves, and lime wedges.'","Combine turkey broth, lemongrass, ginger, cilantro stems, lime leaves, and red pepper flakes in a pot over medium-high heat. Bring to a simmer, reduce heat to medium-low, and simmer until flavors blend, 20 to 30 minutes.<br>Stain broth mixture through a fine-mesh sieve, discard vegetables, and return broth to the pot.<br>Stir turkey, mushrooms, fish sauce, and palm sugar into broth, simmer until mushrooms are tender and turkey absorbs broth flavor, about 15 minutes.<br>Pour coconut milk, lime juice, green onions, and cilantro leaves into broth. Bring soup to a simmer and drizzle in chili oil.<br>","['lime juice', 'green onion', 'turkey broth', 'coconut milk', 'fresh cilantro leaf', 'fish sauce', 'palm sugar', 'red pepper flake', 'turkey', 'lemongrass', 'fresh ginger', 'cilantro', 'kaffir lime leaf', 'mushroom', 'chili oil']"
30,Sweet and Nutty Pork Chops,9.86798,12.592,204,'Pork chops are pan-fried and served with a sweet honey and pecan sauce. A quick recipe that is great for any occasion.',"Preheat the oven to 300 degrees F (150 degrees C).<br>Heat the butter and oil in a large skillet over medium-high heat. Season the pork chops with salt and pepper then lightly coat with flour. Add chops to the pan and fry on each side until golden brown, about 2 minutes per side. Transfer to a baking sheet and place in the warm oven. Leave in the oven to finish cooking, about 10 minutes.<br>While the chops are cooking, stir together the honey and chicken broth in a small bowl. As soon as you remove them from the pan, pour the honey sauce into the skillet and add pecans. Cook and stir until sauce becomes thick enough to coat a metal spoon, about 2 minutes. Drizzle sauce over pork chops and serve immediately.<br>","['flour', 'ground pepper', 'vegetable oil', 'butter', 'pecan', 'chicken broth', 'honey', 'boneless pork chop']"
31,Carrot and Sweet Potato Tzimmes,0.223501,20.6962,83,'This is a favorite from my childhood - my mother would make it for festive meals.',"Preheat oven to 350 degrees F (175 degrees C). Oil a 9x13-inch baking dish with canola oil.<br>Bring a large pot of water to a boil, and stir in the baby carrots. Reduce heat to a simmer, and cook the baby carrots until firm but tender, about 10 minutes. Stir in the sweet potato chunks, and simmer for 5 more minutes, drain.<br>Place the carrots, sweet potatoes, and prunes into the prepared baking dish, and stir to combine. In a bowl, whisk together the reserved pineapple juice, honey, orange juice, salt, and cinnamon until smooth, and pour the mixture over the carrots, sweet potatoes, and prunes. Cover the baking dish with aluminum foil.<br>Bake in the preheated oven until the mixture is bubbling, about 30 minutes. Remove from oven, and take off the aluminum foil. Mix in the pineapple chunks and cornstarch until thoroughly combined, and return to the oven until slightly thickened, about 10 more minutes.<br>","['salt', 'ground cinnamon', 'cornstarch', 'orange juice', 'canola oil', 'honey', 'baby carrot', 'prune', 'pineapple chunk', 'sweet potato', 'pineapple juice']"
32,Layered Mousse Bites,2.40937,19.3753,108,"'These light, fun-to-eat fruity treats make any get-together festive.'","Stir boiling water into gelatin mixes with whisk 2 min. until completely dissolved. Add COOL WHIP, stir until blended.<br>Pour into 8-inch square pan.<br>Refrigerate 3 hours or until firm. Cut into 36 pieces.<br>","['water', 'whipped topping', 'strawberry jell-o']"
33,Grandma's Apple Dumplings,13.8566,29.4453,248,'This is a simple and delicious recipe for apples wrapped in dough with an orange vanilla sauce. Don't forget the ice cream!',"Preheat oven to 350 degrees F (175 degrees C). Wrap each apple piece in one crescent roll. Place seam side down in an 8x8 baking dish and sprinkle with cinnamon.<br>In medium saucepan, combine butter, sugar, and orange juice, bring to a boil. Remove from heat and stir in vanilla. Pour over rolls.<br>Bake for 30 minutes, or until pastry is golden and apples are tender. Spoon sauce over rolls when serving.<br>","['white sugar', 'ground cinnamon', 'vanilla extract', 'butter', 'orange juice', 'refrigerated crescent roll', 'granny smith apple']"
